0,563
1,786
2,1238
3,1910
4,2669
5,4415
6,5823
7,7519
8,9439
9,11448
10,13921
11,16525
12,19561
13,23146
14,26528
15,29239
16,32069
17,34055
18,36320
19,38038
20,39216
21,52039
22,56247
23,57378
24,57990
25,58581
26,58747
27,58622
28,57217
29,55906
30,54418
31,53541
32,51596
33,49922
34,48014
35,46215
36,43734
37,42262
38,41297
39,40413
40,39218
41,38870
42,38505
43,39433
44,40947
45,42328
46,43886
47,46300
48,48031
49,53279
50,59168
51,67413
52,74717
53,85538
54,95640
55,107556
56,124548
57,146790
58,172715
59,196597
60,224316
61,260491
62,295122
63,335940
64,384424
65,436577
66,490926
67,538626
68,582623
69,639139
70,695218
71,751288
72,830832
73,891976
74,941753
75,995294
76,1049477
77,1099309
78,1151564
